,loss,lr,average_reward,num_buy,num_sell,num_hold
0,2.5884432792663574,0.001,-0.005952806677669287,12,7,45
1,0.010667125694453716,0.001,-0.00459697563201189,7,7,50
2,0.010511524975299835,0.001,0.004733295179903507,9,4,51
3,0.009339515119791031,0.001,0.0027058725245296955,10,6,48
4,0.008796874433755875,0.001,0.0007621179684065282,7,8,49
5,0.008405112661421299,0.001,0.0007307347841560841,7,7,50
6,0.0069991773925721645,0.001,0.00014734675642102957,14,10,40
7,0.007270348723977804,0.001,-0.0018168198876082897,7,9,48
8,0.006738151423633099,0.001,-0.00770063791424036,9,8,47
9,0.0061686234548687935,0.001,0.0032662563025951385,7,12,45
10,0.006163148675113916,0.001,-0.0026178413536399603,9,7,48
11,0.005913403816521168,0.001,0.001924534561112523,8,7,49
12,0.0050005242228507996,0.001,-0.00034784036688506603,6,13,45
13,0.0049557313323020935,0.001,0.002430844586342573,8,10,46
14,0.00509304367005825,0.001,0.0031523245852440596,5,6,53
15,0.004128600470721722,0.001,-0.01976596750319004,15,10,39
16,0.0039928872138261795,0.001,-0.0036380572710186243,8,11,45
17,0.0038041146472096443,0.001,-0.005114356521517038,12,8,44
18,0.0037391067016869783,0.001,-0.001293216017074883,6,9,49
19,0.0034586500842124224,0.001,-0.001893463428132236,5,9,50
20,0.003301613964140415,0.001,-0.0014881258830428123,5,7,52
21,0.003014524467289448,0.001,-0.0022874330170452595,12,8,44
22,0.0027579409070312977,0.001,-0.0033754846081137657,6,9,49
23,0.002419461729004979,0.001,0.0006969880778342485,9,11,44
24,0.0024928513448685408,0.001,-0.0026975893415510654,7,5,52
25,0.002267859410494566,0.001,-0.016410954296588898,12,5,47
26,0.0019706108141690493,0.001,-0.007790320087224245,11,8,45
27,0.002077516634017229,0.001,-0.012509184889495373,16,2,46
28,0.001846223371103406,0.001,-0.0016999882645905018,10,6,48
29,0.0015269831055775285,0.001,0.002267095260322094,9,10,45
30,0.001408684765920043,0.001,0.0035704714246094227,6,9,49
31,0.0012461545411497355,0.001,-0.004862666595727205,10,9,45
32,0.001147235045209527,0.001,-0.00027580198366194963,8,10,46
33,0.0010470759589225054,0.001,-0.003428654046729207,14,10,40
34,0.0009826051536947489,0.001,0.004819219931960106,7,8,49
35,0.0009066059719771147,0.001,-0.010790671221911907,10,7,47
36,0.0007961198571138084,0.001,-0.012056006118655205,7,8,49
37,0.0006927939248271286,0.001,0.0013114102184772491,3,5,56
38,0.0005449206801131368,0.001,0.0029100854881107807,4,11,49
39,0.0006139264442026615,0.001,-0.01501668430864811,10,4,50
40,0.0005115504027344286,0.001,0.0007756710983812809,11,12,41
41,0.0004234059597365558,0.001,0.00033573247492313385,9,7,48
42,0.0003151728888042271,0.001,-0.0012658725026994944,5,11,48
43,0.000320825056405738,0.001,-0.014707197435200214,11,7,46
44,0.0002598670544102788,0.001,0.0010223977733403444,7,12,45
45,0.00021719749202020466,0.001,-0.005607360042631626,6,7,51
46,0.0002078588295262307,0.001,0.0006380687700584531,11,12,41
47,0.00020463476539589465,0.001,-0.01443120464682579,11,12,41
48,0.00015824666479602456,0.001,-0.015820618718862534,12,6,46
49,9.920002776198089e-05,0.001,-0.005606283433735371,8,6,50
50,9.281197708332911e-05,0.001,-0.0008414137409999967,4,8,52
51,0.0001032308500725776,0.001,0.0015658671036362648,7,9,48
52,9.977353329304606e-05,0.001,-0.0025193504989147186,9,6,49
53,8.291260746773332e-05,0.001,0.0005964823067188263,12,8,44
54,7.103545067366213e-05,0.001,-0.013483840972185135,11,3,50
55,3.1742903956910595e-05,0.001,-0.0021123699843883514,5,5,54
56,2.661041980900336e-05,0.001,-0.01325906254351139,6,5,53
57,2.470829349476844e-05,0.001,-0.012932240962982178,7,6,51
58,4.560752131510526e-05,0.001,-0.01756833679974079,10,5,49
59,3.565408042049967e-05,0.001,-0.01351328194141388,11,6,47
60,2.744410630839411e-05,0.001,0.0030128397047519684,7,10,47
61,4.655932934838347e-05,0.001,-0.0010703206062316895,10,9,45
62,3.3604657801333815e-05,0.001,-0.0016940116183832288,7,9,48
