,loss,lr,average_reward,num_buy,num_sell,num_hold
0,872.862548828125,0.001,-0.0008600018336437643,9,7,48
1,816.8594970703125,0.001,-0.004854032304137945,7,6,51
2,810.4512939453125,0.001,-0.0020262934267520905,7,9,48
3,668.4006958007812,0.001,-0.002396848052740097,10,11,43
4,730.236572265625,0.001,-0.003819417441263795,11,8,45
5,640.7816162109375,0.001,-0.0012393859215080738,10,8,46
6,716.86669921875,0.001,-0.002144360914826393,6,13,45
7,858.4371337890625,0.001,-0.0016237942036241293,16,4,44
8,615.05859375,0.001,-9.305236744694412e-05,10,8,46
9,668.8880615234375,0.001,6.0779566410928965e-05,4,9,51
10,613.7891235351562,0.001,-0.0014120661653578281,13,13,38
11,540.8967895507812,0.001,-0.0005638727452605963,9,16,39
12,810.392822265625,0.001,-0.0010556438937783241,7,10,47
13,657.527099609375,0.001,-0.0030983146280050278,8,8,48
14,852.2633056640625,0.001,-8.135056123137474e-05,7,10,47
15,685.29541015625,0.001,-0.0027667698450386524,6,11,47
16,819.356689453125,0.001,-0.0017529253382235765,10,7,47
17,664.7529907226562,0.001,-0.0030996541026979685,12,9,43
18,686.92724609375,0.001,-0.002575805177912116,9,11,44
19,580.279296875,0.001,-0.0026641367003321648,11,11,42
20,579.3443603515625,0.001,-0.001323592965491116,11,6,47
21,572.923828125,0.001,-0.0021448477637022734,9,10,45
22,897.716796875,0.001,-0.00010591822501737624,10,8,46
23,703.774658203125,0.001,-0.003004027996212244,16,7,41
24,812.6436767578125,0.001,-0.0008665560162626207,8,11,45
25,603.4521484375,0.001,-0.003805609419941902,12,9,43
26,668.3493041992188,0.001,-0.0006953532574698329,11,7,46
27,754.770263671875,0.001,-0.0016160428058356047,7,9,48
28,761.0574340820312,0.001,0.0004770830273628235,6,4,54
29,591.0149536132812,0.001,-0.0005567853804677725,10,12,42
30,827.645751953125,0.001,-0.00182203552685678,10,12,42
31,674.5888061523438,0.001,-0.0006768536986783147,5,8,51
32,829.2249755859375,0.001,-0.000114719063276425,11,10,43
33,857.6121826171875,0.001,-0.0017500962130725384,5,10,49
34,739.0072021484375,0.001,-0.001569303683936596,10,11,43
35,645.073486328125,0.001,0.0004476495087146759,9,9,46
36,619.62451171875,0.001,-0.0009777951054275036,10,6,48
37,821.6263427734375,0.001,-0.004060259088873863,9,5,50
38,762.0869140625,0.001,-0.00310043734498322,10,5,49
39,733.2308349609375,0.001,-0.0024318676441907883,11,8,45
40,659.080322265625,0.001,-0.0037185426335781813,5,9,50
41,756.52880859375,0.001,-0.004019822925329208,8,7,49
42,754.9217529296875,0.001,-0.0006403934676200151,8,6,50
43,849.8330688476562,0.001,-0.0036556364502757788,6,8,50
44,669.6947021484375,0.001,-0.002436232753098011,9,8,47
45,668.659423828125,0.001,0.0002601584419608116,12,13,39
46,527.9080200195312,0.001,-0.0025315515231341124,12,11,41
47,688.3277587890625,0.001,-0.0012662841472774744,12,10,42
48,683.7636108398438,0.001,-0.00275976350530982,13,7,44
49,634.4710693359375,0.001,7.501838263124228e-05,11,8,45
50,615.3935546875,0.001,-0.0014565621968358755,10,10,44
51,835.82568359375,0.001,-0.005174645222723484,8,10,46
52,604.3502807617188,0.001,-0.0034785964526236057,10,7,47
53,917.7963256835938,0.001,-0.0024025135207921267,9,5,50
54,810.1171875,0.001,-0.0011835398618131876,8,7,49
55,702.5572509765625,0.001,-0.002384055405855179,7,15,42
56,784.7415771484375,0.001,-0.0007246038876473904,5,12,47
57,766.2105712890625,0.001,5.3174677304923534e-05,12,7,45
58,682.5263061523438,0.001,-0.002161083510145545,8,7,49
59,647.549560546875,0.001,-0.002487002406269312,11,8,45
60,734.6097412109375,0.001,-0.0017516997177153826,9,9,46
61,625.9197998046875,0.001,-0.0035714544355869293,9,17,38
62,733.5127563476562,0.001,-0.0023421929217875004,8,9,47
63,781.0104370117188,0.001,-0.0035908445715904236,12,8,44
64,506.8901062011719,0.001,-0.0049533601850271225,15,11,38
65,907.2706298828125,0.001,-0.002059787046164274,7,10,47
66,402.7303161621094,0.001,-0.0018645176896825433,13,14,37
67,559.8900146484375,0.001,-0.005891225766390562,11,10,43
68,514.6720581054688,0.001,-0.00037742912536486983,15,12,37
69,796.0560302734375,0.001,-0.0006837165565229952,5,8,51
70,627.9913330078125,0.001,0.00189773621968925,12,8,44
71,920.7711181640625,0.001,-0.0032099741511046886,7,5,52
72,861.740234375,0.001,-0.003090730868279934,7,12,45
73,549.2510986328125,0.001,0.0003333514032419771,10,9,45
74,718.7943115234375,0.001,-0.000159968389198184,12,11,41
75,824.4334716796875,0.001,-0.004236777778714895,11,5,48
76,674.6361083984375,0.001,-4.0471553802490234e-05,10,10,44
77,686.4951782226562,0.001,-0.004085821099579334,12,6,46
78,590.0702514648438,0.001,-0.003292019246146083,11,11,42
79,726.1800537109375,0.001,-0.0002170223742723465,10,6,48
80,706.8760986328125,0.001,-0.001181386993266642,7,12,45
81,718.1957397460938,0.001,-0.0010874238796532154,12,8,44
82,545.043701171875,0.001,0.00030412530759349465,8,14,42
83,479.7291259765625,0.001,-0.000857359089422971,7,15,42
84,782.5034790039062,0.001,-0.0016450013499706984,5,11,48
85,697.9278564453125,0.001,-0.0029441078659147024,8,8,48
86,636.7572021484375,0.001,-0.0026819456834346056,13,8,43
87,773.9794921875,0.001,-0.001823763595893979,7,5,52
88,845.8136596679688,0.001,-0.0031870193779468536,8,6,50
89,748.940185546875,0.001,-0.00011098734103143215,8,10,46
90,611.2845458984375,0.001,-0.0014099078252911568,10,10,44
